test_case_id,title,concern,preconditions,test_data,steps,expected_result,layer_coverage,severity_if_fail,evidence_required,execution_status,actual_result,notes
TC-DV-001,List my devices success,"C1,C3",U1 has >=3 devices and valid access token,U1 token; limit=20 offset=0,1) GET /api/v1/me/devices 2) Verify payload 3) Verify DB owner scope,200; only U1 devices; fields include status/last_seen,"Router,Middleware,Handler,Service,Repo,DB",P1,API response + DB snapshot,NOT_RUN,,
TC-DV-002,List my devices unauthorized,"C1,C5",No access token,None,GET /api/v1/me/devices,401 unauthorized generic,"Middleware,Handler",P0,API response,NOT_RUN,,
TC-DV-003,Revoke own device success,"C2,C3",U1 owns D2; D2 not revoked,U1 token; device D2,1) POST /api/v1/me/devices/D2/revoke 2) Check DB devices 3) Check DB refresh_tokens,204; D2 status revoked; related refresh tokens invalidated,"Router,Handler,Service,Repo,DB",P0,API response + DB before/after,NOT_RUN,,
TC-DV-004,Revoke other user device denied,"C2,C5",U1 token; D-U2 belongs to U2,U1 token; D-U2,POST /api/v1/me/devices/D-U2/revoke,403/denied generic; no ownership leak; DB unchanged,"Handler,Service,Repo,DB",P0,API response + DB unchanged proof,NOT_RUN,,
TC-DV-005,Logout other devices success,C3,"U1 current device D1 + D2,D3 active",U1 token on D1,1) POST /api/v1/me/devices/logout-others 2) Check devices 3) Check refresh tokens,"200; D2,D3 revoked; D1 remains active; non-D1 sessions revoked","Router,Middleware,Handler,Service,Repo,DB",P0,API response + DB before/after,NOT_RUN,,
TC-DV-006,Logout all devices success,C3,U1 has active devices and sessions,U1 token,1) POST /api/v1/me/devices/logout-all 2) Verify all devices and sessions,200; all U1 devices revoked; all U1 refresh tokens removed,"Handler,Service,Repo,DB",P0,API response + DB snapshots,NOT_RUN,,
TC-DV-007,Refresh denied after device revoked,C4,Refresh cookie tied to revoked device D2,Revoked D2 refresh cookie,POST /api/v1/auth/refresh,401 invalid session; access/refresh cookies cleared,"Handler,Service,Repo,DB",P0,API response headers + Set-Cookie,NOT_RUN,,
TC-DV-008,Invalid device_id format on revoke,C5,Valid user token,device_id=not-uuid,POST /api/v1/me/devices/not-uuid/revoke,400 invalid request,"Handler,Service",P2,API response,NOT_RUN,,
TC-DV-009,Pagination boundary list devices,C7,Valid user token,limit=0/-1/999; offset=-1,GET /api/v1/me/devices with boundary params,Fallback defaults applied; no crash; 200,"Handler,Service,Repo",P2,API responses,NOT_RUN,,
TC-DV-010,Concurrent logout-others idempotency,C6,U1 with multiple active sessions,N parallel requests (N>=10),1) Fire concurrent POST logout-others 2) Verify final state,No corruption; final state equal to single successful run,"Service,Repo,DB",P1,Concurrency log + final DB state,NOT_RUN,,
